Player Name,Team,War
Miguel Vargas,CHW,1.3
Gavin Sheets,SDP,1.3
Chase Meidroth,CHW,1.3
Ronny Henriquez,MIA,1.3
Cedric Mullins,BAL,1.3
Daniel Schneemann,CLE,1.3
Ozzie Albies,ATL,1.3
Joey Bart,PIT,1.3
Mike Burrows,PIT,1.3
Cam Schlittler,NYY,1.3
Tyler Rogers,BAL,1.3
Denzel Clarke,ATH,1.3
Davis Schneider,TOR,1.3
José Berríos,TOR,1.3
Danny Jansen,TBR,1.3
Kody Clemens,PHI,1.3
Brad Keller,CHC,1.3
Luis Robert Jr.,CHW,1.3
Clarke Schmidt,NYY,1.3
Davis Martin,CHW,1.3
Ben Casparius,LAD,1.3
Eduardo Rodriguez,ARI,1.3
Brendon Little,TOR,1.3
Jacob Latz,TEX,1.3
Jurickson Profar,ATL,1.3
Tyler Alexander,MIL,1.3
Heriberto Hernández,MIA,1.3
Jimmy Herget,COL,1.3
Brad Lord,WSN,1.2
Jacob Lopez,ATH,1.2
Jason Adam,SDP,1.2
Louis Varland,MIN,1.2
Aaron Ashby,MIL,1.2
Austin Hays,CIN,1.2
Michael Lorenzen,KCR,1.2
Jacob Misiorowski,MIL,1.2
Jackson Holliday,BAL,1.2
Jo Adell,LAA,1.2
Kyle Finnegan,WSN,1.2
Marcell Ozuna,ATL,1.2
Reid Detmers,LAA,1.2
Nolan McLean,NYM,1.2
Hurston Waldrep,ATL,1.2
Tommy Edman,LAD,1.2
Austin Hedges,CLE,1.2
Kyle Manzardo,CLE,1.2
Trevor Williams,WSN,1.2
Dennis Santana,PIT,1.2
Bailey Ober,MIN,1.2
Adley Rutschman,BAL,1.2
Simeon Woods Richardson,MIN,1.2
Joey Wentz,MIN,1.1
Kyle Isbel,KCR,1.1
Kyle Bradish,BAL,1.1
Landen Roupp,SFG,1.1
Tyler Stephenson,CIN,1.1
Christian Walker,HOU,1.1
Caleb Thielbar,CHC,1.1
Steven Matz,STL,1.1
Miguel Andujar,ATH,1.1
Connelly Early,BOS,1.1
Jameson Taillon,CHC,1.1
Josh Hader,HOU,1.1
Michael Soroka,WSN,1.1
Emmanuel Clase,CLE,1.1
Heliot Ramos,SFG,1.1
Carlos Estévez,KCR,1.1
Bennett Sousa,HOU,1.1
Ramón Urías,BAL,1.1
Bryan Reynolds,PIT,1.1
Ian Seymour,TBR,1.1
Gabriel Arias,CLE,1.1
Jahmai Jones,DET,1.1
Ben Brown,CHC,1.1
Zac Gallen,ARI,1.1
Noelvi Marte,CIN,1.1
Tony Santillan,CIN,1.1
Blaze Alexander,ARI,1
Alex Jackson,BAL,1
Jeremiah Estrada,SDP,1
Nick Fortes,MIA,1
Andrés Giménez,TOR,1
Jesús Sánchez,MIA,1
Cam Smith,HOU,1
Emilio Pagán,CIN,1
Justin Wilson,BOS,1
Anthony Volpe,NYY,1
Jacob Young,WSN,1
Liam Hicks,MIA,1
Ryan Bergert,SDP,1
Raisel Iglesias,ATL,1
Rob Refsnyder,BOS,1
Matt Svanson,STL,1
Parker Messick,CLE,1
Royce Lewis,MIN,1
Kyle Higashioka,TEX,1
Alex Vesia,LAD,1
Graham Pauley,MIA,1
Pete Fairbanks,TBR,1
Austin Martin,MIN,1
Hoby Milner,TEX,1
Freddy Fermin,KCR,1
Spencer Steer,CIN,1
Hunter Dobbins,BOS,1
Austin Wynns,CIN,1
Daniel Palencia,CHC,1
Bubba Chandler,PIT,0.9
Griffin Canning,NYM,0.9
Alex Call,WSN,0.9
Aaron Nola,PHI,0.9
Luis L. Ortiz,CLE,0.9
Tyler Kinley,COL,0.9
Spencer Strider,ATL,0.9
Justin Topa,MIN,0.9
Aaron Civale,MIL,0.9
Nick Gonzales,PIT,0.9
Michael McGreevy,STL,0.9
Ty France,MIN,0.9
Jared Koenig,MIL,0.9
Shota Imanaga,CHC,0.9
Luis Arraez,SDP,0.9
JoJo Romero,STL,0.9
Rhys Hoskins,MIL,0.9
Bryce Elder,ATL,0.9
Jordan Beck,COL,0.9
Grant Holmes,ATL,0.9
Mitchell Parker,WSN,0.9
Seranthony Domínguez,BAL,0.9
Edwin Uceta,TBR,0.9
Lucas Erceg,KCR,0.9
Nolan Arenado,STL,0.9
Cristian Javier,HOU,0.9
Miguel Amaya,CHC,0.8
Victor Caratini,HOU,0.8
Jose Quintana,MIL,0.8
Hunter Gaddis,CLE,0.8
Michael King,SDP,0.8
Martín Pérez,CHW,0.8
Lars Nootbaar,STL,0.8
Ryan Gusto,HOU,0.8
Ezequiel Tovar,COL,0.8
Brandon Walter,HOU,0.8
Andrew Kittredge,BAL,0.8
Hyeseong Kim,LAD,0.8
Logan Henderson,MIL,0.8
Braydon Fisher,TOR,0.8
Matt Festa,CLE,0.8
Randy Vásquez,SDP,0.8
Caleb Ferguson,PIT,0.8
Jeremiah Jackson,BAL,0.8
Dustin May,LAD,0.8
Jake Bauers,MIL,0.8
Cole Sands,MIN,0.8
Tyrone Taylor,NYM,0.8
Paul Goldschmidt,NYY,0.8
Tanner Banks,PHI,0.8
Fernando Cruz,NYY,0.8
Reed Garrett,NYM,0.8
Nasim Nuñez,WSN,0.8
Matt Brash,SEA,0.8
Leo Rivas,SEA,0.8
Lourdes Gurriel Jr.,ARI,0.8
Brooks Raley,NYM,0.8
Tommy Nance,TOR,0.8
J.T. Ginn,ATH,0.8
Carlos Cortes,ATH,0.7
Corbin Burnes,ARI,0.7
Adolis García,TEX,0.7
Gregory Soto,BAL,0.7
James McCann,ARI,0.7
Adam Frazier,PIT,0.7
Nick Allen,ATL,0.7
Luis García Jr.,WSN,0.7
Joey Loperfido,TOR,0.7
Garrett Cleavinger,TBR,0.7
Andre Pallante,STL,0.7
Slade Cecconi,CLE,0.7
Casey Schmitt,SFG,0.7
Yoán Moncada,LAA,0.7
Chandler Simpson,TBR,0.7
Isiah Kiner-Falefa,PIT,0.7
Sean Burke,CHW,0.7
Andruw Monasterio,MIL,0.7
Ronny Mauricio,NYM,0.7
Orion Kerkering,PHI,0.7
Kolby Allard,CLE,0.7
Bryan King,HOU,0.7
Chris Paddack,MIN,0.7
Pavin Smith,ARI,0.7
Carter Jensen,KCR,0.7
Juan Mejia,COL,0.7
Brock Stewart,MIA,0.7
Drew Pomeranz,CHC,0.7
Greg Weissert,BOS,0.7
Starling Marte,NYM,0.7
Reese McGuire,CHC,0.7
Manuel Rodríguez,TBR,0.7
Eli White,ATL,0.7
Dylan Beavers,BAL,0.7
Derek Hill,MIA,0.7
Bryce Johnson,SDP,0.7
Matt Thaiss,CHW,0.6
Colton Cowser,BAL,0.6
Teoscar Hernández,LAD,0.6
Isaac Mattson,PIT,0.6
Jasson Domínguez,NYY,0.6
Brenan Hanifee,DET,0.6
Shelby Miller,ARI,0.6
Mickey Moniak,COL,0.6
Brandon Sproat,NYM,0.6
Camilo Doval,SFG,0.6
Bryce Teodosio,LAA,0.6
Ryan Walker,SFG,0.6
José Fermín,STL,0.6
Kenley Jansen,LAA,0.6
Max Kepler,PHI,0.6
Félix Bautista,BAL,0.6
Brant Hurter,DET,0.6
Brennan Bernardino,BOS,0.6
Mark Leiter Jr.,NYY,0.6
Ronel Blanco,HOU,0.6
Jakob Junis,CLE,0.6
Jonny DeLuca,TBR,0.6
Andrew Vaughn,CHW,0.6
Andrew Alvarez,WSN,0.6
Drew Millas,WSN,0.6
Michael Helman,TEX,0.6
AJ Smith-Shawver,ATL,0.6
Tanner Gordon,COL,0.6
Luis Gil,NYY,0.6
Willi Castro,BAL,0.6
Mason Englert,TBR,0.6
Hogan Harris,ATH,0.6
Max Schuemann,ATH,0.6
Chris Martin,TEX,0.6
Connor Norby,MIA,0.5
Yordan Alvarez,HOU,0.5
Bailey Falter,PIT,0.5
Christian Koss,SFG,0.5
Victor Vodnik,COL,0.5
Dietrich Enns,DET,0.5
Robert Garcia,TEX,0.5
Salvador Perez,KCR,0.5
Matt Gage,DET,0.5
Thomas Saggese,STL,0.5
Jordan Leasure,CHW,0.5
Max Meyer,MIA,0.5
Taijuan Walker,PHI,0.5
Eduard Bazardo,SEA,0.5
Seth Lugo,KCR,0.5
Hunter Harvey,KCR,0.5
Wandy Peralta,SDP,0.5
Bryan Baker,BAL,0.5
Justin Lawrence,PIT,0.5
JP Sears,ATH,0.5
Joe Boyle,TBR,0.5
Gordon Graceffo,STL,0.5
Zach Cole,HOU,0.5
Kyle Harrison,SFG,0.5
Alek Thomas,ARI,0.5
Luke Weaver,NYY,0.5
Luis Morales,ATH,0.5
Cade Cavalli,WSN,0.5
Nick Mears,MIL,0.5
José Buttó,NYM,0.5
J.C. Escarra,NYY,0.5
Jake Bird,COL,0.5
Javier Sanoja,MIA,0.5
Andrew Saalfrank,ARI,0.5
Trey Yesavage,TOR,0.4
Anthony Bender,MIA,0.4
Sean Manaea,NYM,0.4
Marcelo Mayer,BOS,0.4
Brenton Doyle,COL,0.4
Mike Vasil,CHW,0.4
Johan Rojas,PHI,0.4
Blake Perkins,MIL,0.4
Sal Stewart,CIN,0.4
Spencer Bivens,SFG,0.4
Kody Funderburk,MIN,0.4
Aaron Bummer,ATL,0.4
Trevor McDonald,SFG,0.4
Enyel De Los Santos,MIA,0.4
Mark Vientos,NYM,0.4
Steven Wilson,CHW,0.4
Taylor Rashi,ARI,0.4
Tyler Gilbert,CHW,0.4
Grant Anderson,MIL,0.4
Max Scherzer,TOR,0.4
Justin Slaten,BOS,0.4
Ryan Feltner,COL,0.4
Brayan Rocchio,CLE,0.4
Jonathan Cannon,CHW,0.4
Dominic Smith,SFG,0.4
Andy Ibáñez,DET,0.4
Brett Harris,ATH,0.4
Tobias Myers,MIL,0.4
JT Brubaker,NYY,0.4
Andrew Chafin,DET,0.4
Joey Wiemer,MIA,0.4
Luisangel Acuña,NYM,0.4
Elias Díaz,SDP,0.4
Ben Williamson,SEA,0.4
Yu Darvish,SDP,0.4
Kyren Paris,LAA,0.4
Zack Kelly,BOS,0.4
Huascar Brazobán,NYM,0.4
DL Hall,MIL,0.4
Cal Quantrill,MIA,0.4
Ben Lively,CLE,0.4
Cole Sulser,TBR,0.4
Garrett Mitchell,MIL,0.4
Jack Perkins,ATH,0.4
Amed Rosario,WSN,0.4
José Alvarado,PHI,0.3
Tyler Tolbert,KCR,0.3
Albert Suárez,BAL,0.3
Dominic Fletcher,CHW,0.3
Justin Sterner,ATH,0.3
Eric Orze,TBR,0.3
Javier Assad,CHC,0.3
Kai-Wei Teng,SFG,0.3
Kameron Misner,TBR,0.3
Nate Eaton,BOS,0.3
Ryan Fitzgerald,MIN,0.3
Jake Rogers,DET,0.3
David Festa,MIN,0.3
Taylor Clarke,KCR,0.3
Brooks Lee,MIN,0.3
Eric Haase,MIL,0.3
Yerry De los Santos,NYY,0.3
A.J. Minter,NYM,0.3
Erik Sabrowski,CLE,0.3
Jose Trevino,CIN,0.3
Angel Zerpa,KCR,0.3
Tyler Wells,BAL,0.3
Charlie Morton,BAL,0.3
Dylan Lee,ATL,0.3
Cade Gibson,MIA,0.3
Riley O'Brien,STL,0.3
John Schreiber,KCR,0.3
Cody Laweryson,MIN,0.3
Brandon Lockridge,SDP,0.3
Luke Maile,KCR,0.3
Carlos Santana,CLE,0.3
Jake Fraley,CIN,0.3
Ryan Brasier,CHC,0.3
Germán Márquez,COL,0.3
Ha-Seong Kim,TBR,0.3
Shane Bieber,TOR,0.3
Jaden Hill,COL,0.3
Miles Mikolas,STL,0.3
Tyler Ferguson,ATH,0.3
Max Kranick,NYM,0.3
Gavin Lux,CIN,0.3
David Morgan,SDP,0.3
Jorge López,WSN,0.3
Moisés Ballesteros,CHC,0.3
Pierce Johnson,ATL,0.3
Edgardo Henriquez,LAD,0.3
Wikelman González,CHW,0.3
Alex Freeland,LAD,0.3
Kumar Rocker,TEX,0.3
Mason Montgomery,TBR,0.3
Brock Burke,LAA,0.3
Rafael Marchán,PHI,0.3
Juan Morillo,ARI,0.3
Christian Vázquez,MIN,0.3
Jayden Murray,HOU,0.3
Will Klein,LAD,0.3
Rico Garcia,NYM,0.3
Jordan Hicks,SFG,0.3
Miles Mastrobuoni,SEA,0.3
DJ LeMahieu,NYY,0.3
Taylor Walls,TBR,0.3
Ryan Helsley,STL,0.2
Jason Alexander,ATH,0.2
Danny Young,NYM,0.2
Nic Enright,CLE,0.2
Evan Sisk,KCR,0.2
Kade Strowd,BAL,0.2
Collin Snider,SEA,0.2
Johan Oviedo,PIT,0.2
Coby Mayo,BAL,0.2
Evan Phillips,LAD,0.2
Ryan Thompson,ARI,0.2
Luinder Avila,KCR,0.2
Grant Wolfram,BAL,0.2
Jacob Webb,TEX,0.2
Yohel Pozo,STL,0.2
Trevor Larnach,MIN,0.2
Parker Meadows,DET,0.2
Ron Marinaccio,SDP,0.2
Caleb Boushley,TEX,0.2
Andrew Knizner,SFG,0.2
Jared Shuster,CHW,0.2
Cole Winn,TEX,0.2
Jonathan Bowlan,KCR,0.2
José Suarez,ATL,0.2
Brandyn Garcia,SEA,0.2
Sam Haggerty,TEX,0.2
Dylan Crews,WSN,0.2
Jonah Tong,NYM,0.2
Ryan Weathers,MIA,0.2
Christian Moore,LAA,0.2
Kevin Ginkel,ARI,0.2
Mason Fluharty,TOR,0.2
Sam Bachman,LAA,0.2
Connor Phillips,CIN,0.2
Clayton Beeter,NYY,0.2
Hayden Wesneski,HOU,0.2
Troy Johnston,MIA,0.2
Korey Lee,CHW,0.2
Jesus Tinoco,MIA,0.2
Nacho Alvarez Jr.,ATL,0.2
Andrew Benintendi,CHW,0.2
Luke Raley,SEA,0.2
Sammy Peralta,LAA,0.2
Paul Blackburn,NYM,0.2
Justin Hagenman,NYM,0.2
Kyle Nicolas,PIT,0.2
Yohan Ramírez,PIT,0.2
Brewer Hicklen,DET,0.2
Nathan Church,STL,0.2
Taylor Rogers,CIN,0.2
Mason Barnett,ATH,0.2
Ildemaro Vargas,ARI,0.2
Jalen Beeks,ARI,0.2
Paul DeJong,WSN,0.2
C.J. Kayfus,CLE,0.2
PJ Poulin,WSN,0.2
Tommy Pham,PIT,0.2
Dylan Dodd,ATL,0.2
Steven Cruz,KCR,0.2
Josh Winckowski,BOS,0.2
Mitch Farris,LAA,0.1
Tyler Phillips,MIA,0.1
Chris Devenski,NYM,0.1
Carlos Hernández,PHI,0.1
Troy Melton,DET,0.1
Dauri Moreta,PIT,0.1
Tomás Nido,DET,0.1
Hunter Barco,PIT,0.1
Jordan Wicks,CHC,0.1
Darren McCaughan,MIN,0.1
Josh Walker,TOR,0.1
Lake Bachar,MIA,0.1
AJ Blubaugh,HOU,0.1
Sean Guenther,DET,0.1
Paxton Schultz,TOR,0.1
David Hamilton,BOS,0.1
Keider Montero,DET,0.1
Tim Anderson,LAA,0.1
Lyon Richardson,CIN,0.1
Adam Mazur,MIA,0.1
Yoendrys Gómez,NYY,0.1
Kevin Herget,NYM,0.1
John Rave,KCR,0.1
Yimi García,TOR,0.1
Ian Gibaut,CIN,0.1
Luis Urías,ATH,0.1
Pierson Ohl,MIN,0.1
Brent Headrick,NYY,0.1
Tyler Fitzgerald,SFG,0.1
Nabil Crismatt,ARI,0.1
Scott Barlow,CIN,0.1
Brice Matthews,HOU,0.1
Ryan Ritter,COL,0.1
Zak Kent,CLE,0.1
Tyler Anderson,LAA,0.1
Tristan Gray,TBR,0.1
Robert Stephenson,LAA,0.1
Elvis Alvarado,ATH,0.1
José De León,BOS,0.1
Jesse Scholtens,TBR,0.1
Bradgley Rodriguez,SDP,0.1
Chase Dollander,COL,0.1
Yariel Rodríguez,TOR,0.1
Easton McGee,MIL,0.1
Trevor Richards,CHC,0.1
Oswaldo Cabrera,NYY,0.1
Drew Gilbert,SFG,0.1
Brian Navarreto,MIA,0.1
Ryan Yarbrough,NYY,0.1
Bryan Hoeing,SDP,0.1
Liover Peguero,PIT,0.1
Jose Espada,BAL,0.1
Colin Selby,BAL,0.1
Jerar Encarnacion,SFG,0.1
Justin Martinez,ARI,0.1
Richie Palacios,TBR,0.1
Enmanuel Valdez,PIT,0.1
Luis Garcia,HOU,0.1
Dedniel Núñez,NYM,0.1
Brandon Eisert,CHW,0.1
Curtis Mead,TBR,0.1
Rafael Montero,HOU,0.1
Brent Suter,CIN,0.1
Nick Burdi,BOS,0.1
Kevin Alcántara,CHC,0.1
Chase Silseth,LAA,0.1
Petey Halpin,CLE,0.1
Marcus Stroman,NYY,0.1
Erik Miller,SFG,0.1
Brett Sullivan,PIT,0.1
Bobby Dalbec,CHW,0.1
Zach Dezenzo,HOU,0.1
Brady Basso,ATH,0.1
Jackson Jobe,DET,0.1
Trey Lipscomb,WSN,0.1
Ryne Stanek,NYM,0.1
Austin Warren,NYM,0.1
George Valera,CLE,0.1
Nick Loftin,KCR,0.1
Philip Abner,ARI,0.1
Josh Bell,WSN,0.1
Patrick Monteverde,MIA,0.1
J.P. France,HOU,0.1
Ryan Burr,TOR,0.1
Blake Dunn,CIN,0.1
Yennier Cano,BAL,0.1
Mick Abel,PHI,0.1
Anthony Banda,LAD,0.1
Tomoyuki Sugano,BAL,0.1
Keaton Winn,SFG,0.1
Matt Krook,ATH,0.1
Tyler Matzek,NYY,0.1
Tom Cosgrove,CHC,0.1
Zach Thompson,ATL,0.1
Steward Berroa,MIL,0.1
Joey Lucchesi,SFG,0.1
Tanner Rainey,PIT,0.1
Cristian Mena,ARI,0.1
Justin Steele,CHC,0
Jhonny Pereda,MIA,0
Owen Caissie,CHC,0
Hunter Strickland,LAA,0
Nick Sandlin,TOR,0
Colton Gordon,HOU,0
Zack Short,HOU,0
Victor Mesa Jr.,MIA,0
Ian Hamilton,NYY,0
Jovani Morán,BOS,0
Tim Mayza,PIT,0
Noah Murdock,ATH,0
Joe Rock,TBR,0
José Tena,WSN,0
Vimael Machín,BAL,0
Owen Miller,COL,0
Omar Cruz,SDP,0
Touki Toussaint,LAA,0
Esteury Ruiz,LAD,0
Luis Curvelo,TEX,0
Michael Kopech,LAD,0
Casey Lawrence,SEA,0
